country,iso3,penetration_score,penetration_label,as_of_date,confidence,source_name,source_url,rationale
United Arab Emirates,ARE,3,"Significant -- Huawei is an active core RAN/5G partner, alongside diversified vendors",2025-01-01,Medium,"Developing Telecoms -- Huawei and e& UAE partner for energy-saving 5G performance",https://developingtelecoms.com/telecom-technology/energy-sustainability/18903-huawei-and-e-uae-partner-for-energy-saving-5g-performance.html,"e& UAE deployed Huawei's dual-band 64T64R MetaAAU radio unit on its live 5G network. UAE is simultaneously the most US-integrated Gulf state on chips, illustrating a hedging pattern rather than exclusive alignment."
Saudi Arabia,SAU,3,"Significant -- Huawei is STC's lead vendor for advanced 5G features, alongside Nokia and Ericsson",2026-01-01,Medium,"Gulf Business -- stc, Huawei deploy Saudi Arabia's first Full Duplex network; Mobile World Live -- stc Group and Huawei Launch SuperLink",https://gulfbusiness.com/en/2026/tech/stc-huawei-deploy-saudi-arabias-first-full-duplex-network/,"STC (Saudi Telecom Company) runs a three-vendor 5G network with Nokia, Huawei, and Ericsson, but Huawei is specifically the lead partner for STC's headline advanced-feature launches -- the SuperLink service (commercially launched Nov 2024) and Saudi Arabia's first Full Duplex deployment (2026), plus an earlier Huawei managed-services deal. This is a genuinely mixed-vendor picture like Qatar's, but with Huawei carrying more of STC's cutting-edge feature rollouts specifically. Notably this sits in telecom RAN/core infrastructure, a different domain from Saudi Arabia's aggressive US-chip pivot on the AI-compute side via HUMAIN -- the two data points (telecom vendor mix vs. AI compute sourcing) are not in tension, they're just about different technology layers."
Qatar,QAT,2,"Moderate -- mixed-vendor 5G core (Nokia core, Huawei RAN/partnership elements)",2024-03-12,Medium,"RCR Wireless -- Ooredoo partners with Huawei to transition to 5.5G",https://rcrwireless.com/20240312/5g/ooredoo-partners-huawei-transition-5g,"Ooredoo Qatar uses Nokia technology for its 5G cloud-native core network and has also trialed Ericsson equipment, while separately holding a Huawei 5.5G/core-modernization partnership -- a genuinely mixed vendor picture, scored lower than peers where Huawei is clearly the primary vendor."
Bahrain,BHR,2,"Moderate -- Batelco's current 5G expansion uses Ericsson; Huawei only in early-stage 6G talks",2024-04-01,Medium,"AGBI -- Batelco in talks to trial 6G technology in Bahrain",https://www.agbi.com/tech/2024/04/bahrains-batelco-in-talks-to-trial-6g-tech/,"Bahrain's national operator Batelco has tapped Ericsson to expand its current-generation 5G coverage, while separately holding only tentative, unconfirmed talks with Nokia, Huawei, and Ericsson about 6G trials (R&D-stage, expected rollout not before the 2030s per Batelco's own CEO as of this source). This is Bahrain-specific sourcing (an improvement on the prior regional-only citation), and it points toward a lower penetration score than initially scored: Huawei is one of three vendors in early-stage talks, not Bahrain's current deployed 5G vendor."
Kuwait,KWT,4,"Deep -- Huawei is core 5G-A vendor across all three major operators",2025-08-25,High,"RCR Wireless -- Kuwait deploys 5G-A with Huawei and Knetco",https://rcrwireless.com/20250825/5g/kuwait-5g-a-huawei,"Kuwait's 2025 5G-A rollout involved Huawei, Knetco and Kuwait's telecom regulator CITRA working with all three national operators (Ooredoo, Zain, stc) -- the most concretely documented multi-operator Huawei relationship of the GCC states covered here."
Oman,OMN,3,"Significant -- Ooredoo Group's regional Huawei 5G partnership covers Oman",2020-03-09,Medium,"RCR Wireless -- Huawei to boost Ooredoo's 5G operations in four markets",https://www.rcrwireless.com/20200309/business/huawei-boost-ooredoo-5g-operations-four-markets,"Ooredoo Group's Huawei 5G/5G-A partnership explicitly spans Oman alongside Qatar and Kuwait, per a 2024 MWC agreement covering core-network modernization across Qatar, Kuwait, Oman, Iraq, Tunisia, Algeria and the Maldives."
Pakistan,PAK,4,"Deep -- Huawei entrenched since 1998, central to CPEC digital infrastructure",2025-11-06,High,"Newswire.pk -- Huawei, Transworld launch Pakistan's first 400G network to boost CPEC's digital backbone",https://www.newswire.com.pk/2025/11/06/huawei-80/,"Huawei has operated in Pakistan since 1998 with roughly 1,600 employees (91% Pakistani nationals) and in Nov 2025 helped deploy Pakistan's first 400G optical backbone along CPEC routes with Transworld Associates; Pakistan's telecom regulator (PTA) also signed a 2025 capacity-building MOU with Huawei."
Turkey,TUR,4,"Deep -- multi-decade core-network partnership with Turkcell continuing through 2025",2025-03-07,High,"TechAfrica News -- Huawei and Turkcell Join Forces to Build Turkiye's Smart, Sustainable 5G-A Future",https://techafricanews.com/2025/03/07/huawei-and-turkcell-join-forces-to-build-turkiyes-smart-sustainable-5g-a-future/,"Turkcell and Huawei have partnered on RAN and all-cloud core network buildouts since at least 2015-2019 and renewed 5G-A/quantum-secure-network MOUs at MWC 2024 and MWC 2025. Read alongside Turkey's 2020 CAATSA sanctioning over its Russian S-400 purchase, this reflects a broader pattern of hedging beyond the Western bloc rather than an isolated telecom-vendor choice."
Israel,ISR,0,No significant Chinese ICT vendor presence in core telecom infrastructure,2019-03-26,High,"Mobile World Live -- 'US confident on Israel Huawei, ZTE ban'; INSS -- 'The 5G Tender in Israel and the Global Struggle against Huawei'",https://www.mobileworldlive.com/huawei/us-confident-on-israel-huawei-zte-ban/,"Under direct US pressure (Trump reportedly warned Netanyahu in March 2019 that a Huawei/ZTE 5G deal would curtail security cooperation), Israel's security establishment structurally excluded Huawei and ZTE from its telecom infrastructure tenders. Huawei retains only R&D/talent-employment operations in Israel (development centers, not network vendor contracts) -- there is no core-RAN, core-network, or major-carrier vendor relationship, unlike the Gulf states in the existing dataset."
Egypt,EGY,3,"Significant -- Huawei is a core RAN vendor for at least one major carrier, plus an active cloud region, with a live bid to expand into national AI infrastructure",2026-08-26,Medium,Telecom Review Africa -- 'Orange Teams Up with Huawei for 5G Rollout in Egypt'; Huawei -- 'Huawei Cloud Goes Live in Egypt',https://www.telecomreviewafrica.com/articles/telecom-operators/12181-orange-teams-up-with-huawei-for-5g-rollout-in-egypt/,"Huawei supplies Orange Egypt's Massive MIMO RAN equipment and has an infrastructure partnership with Telecom Egypt, while Vodafone/e& Egypt lean more on Ericsson/Nokia -- a genuinely mixed-vendor market, similar to Saudi Arabia's scored pattern. Beyond telecom, Huawei launched a $300m/5-year Huawei Cloud 'Egypt Region' on 21 May 2024 (Cairo hub for North Africa), and in Aug 2026 bid (with blacklisted partner iFlytek) to build Egypt's national AI training/inference data center -- not yet awarded, so not scored 'deep' (4) on that basis alone, but noted as an active escalation vector."
