country,iso3,hub_name,lat,lon,location_precision,category,label,amount_label,source_name,source_url,notes
Saudi Arabia,SAU,NEOM (DataVolt AI factory),27.9761,35.2606,city-level,Compute,DataVolt AI factory at NEOM,"1,500MW (1.5GW) target -- $5bn DataVolt agreement",Global Data Center Hub -- Middle East & Africa $100B+ AI buildout,https://www.globaldatacenterhub.com/p/middle-east-and-africa-100b-ai-and,Exact NEOM site coordinates approximate at this map's scale; deal notes explicitly name NEOM as the site.
Israel,ISR,Ashdod (Ofek data center),31.8014,34.6435,city-level,Compute,Ofek data center (Dalia Energy / Serverfarm / IIF),"130MW at launch, expanding to 200MW -- $1.5bn",Globes -- 'Israel's biggest data center to be built in Ashdod',https://en.globes.co.il/en/article-israels-biggest-data-center-to-be-built-in-ashdod-1001535793,Deal source's own headline names Ashdod as the build site.
Israel,ISR,Mevo Carmel (near Yokneam),32.6595,35.1092,city-level,Compute,Nvidia Mevo Carmel data center,64MW -- $1.5bn,Calcalist (CTech) -- 'Nvidia to invest $1.5 billion in Israel's largest-ever server farm',https://www.calcalistech.com/ctechnews/article/bj77acyxbl,Notes cite the Mevo Carmel industrial zone near Yokneam as the site.
Israel,ISR,Kiryat Tivon,32.7167,35.1333,city-level,Investment,Nvidia R&D campus ('second home' investment),$1.5bn (may partially overlap with the Mevo Carmel figure -- see data/curated/ai_investment_deals.csv),Ynet / Calcalist (CTech) -- Huang declares Israel Nvidia's 'second home',https://www.calcalistech.com/ctechnews/article/sjcwdmxxzg,Deal name itself names Kiryat Tivon as the campus site.
Egypt,EGY,Cairo (Maadi Technology Park),29.9603,31.2568,city-level,Compute,Khazna/Benya hyperscale data center + Huawei Cloud 'Egypt Region',25MW initial (expandable to 50MW); Huawei Cloud region live since 2024,Khazna Data Centers press release -- Maadi Technology Park hyperscale data center; Huawei -- 'Huawei Cloud Goes Live in Egypt',https://khaznadatacenters.com/press-release/khazna-data-centers-and-benya-group-ink-historic-deal-to-establish-egypts-first-premier-hyper-scale-data-center-during-cairo-ict-2023/,Two distinct deals sharing the same Cairo/Maadi location; Huawei notes explicitly position Cairo as a North Africa hub.
Iraq,IRQ,Baghdad,33.3152,44.3661,city-level,Compute,T964 / Nokia carrier-neutral data center,12MW initial phase (scalable),Iraq Business News -- T964 and Nokia Partner to Upgrade Iraq's Digital Infrastructure,https://www.iraq-businessnews.com/2026/02/16/t964-and-nokia-partner-to-upgrade-iraqs-digital-infrastructure/,Deal name itself names Baghdad as the site.
Jordan,JOR,Al-Risha gas field (eastern Jordan),32.5,38.0,approximate,Compute,Mindstream sovereign AI/HPC platform,400MW stated full-buildout target (not yet built),PR Newswire -- Mindstream Energy Targets 400 MW Sovereign AI Infrastructure Platform In Jordan,https://www.prnewswire.com/news-releases/mindstream-energy-dba-mindstream-jordan-llc-targets-400-mw-sovereign-ai-infrastructure-platform-in-jordan-to-serve-growing-regional-compute-demand-302821924.html,"Site named in deal notes as the Al-Risha gas field; this map plots an approximate location for eastern Jordan's Badia desert region, not a precise site coordinate -- treat the pin as regional, not exact."
Syria,SYR,Tartus,34.8886,35.8866,city-level,Telecom,SilkLink subsea cable landing station,$800.2m stc Group / Syria Sovereign Fund joint venture,SPA -- stc Group Signs Agreement to Implement 'Silklink' Project in Syria,https://www.spa.gov.sa/en/N2506926,Deal notes explicitly name Tartus as the Mediterranean subsea cable landing station.
Turkey,TUR,Istanbul,41.0082,28.9784,city-level,Chinese-tie,Huawei Cloud region,Live since 2024; Pangu-based AI services embedded,Huawei Cloud -- 'Huawei Cloud Unveils AI-Native Cloud'; Xinhua -- 'Huawei launches localized cloud in Turkiye',https://www.huaweicloud.com/intl/en-us/news/20241010191537814.html,Cited in this project's chinese_digital_ties.csv rationale for Turkey.
United Arab Emirates,ARE,"Masdar City, Abu Dhabi (Khazna AUH6)",24.4272,54.6141,city-level,Compute,"Khazna Data Centers' AUH6 hyperscale, AI-optimized data center",31.8MW IT power capacity; launched Feb 2024 as Khazna's flagship AI-ready facility,Khazna Data Centers press release -- 'Khazna Data Centers Fuels UAE's Digital Future with the Launch of Hyperscale AI-ready Data Center in Masdar City',https://khaznadatacenters.com/press-release/khazna-data-centers-fuels-uaes-digital-future-with-the-launch-of-hyperscale-ai-ready-data-center-in-masdar-city/,"Khazna's own press release and trade coverage (Data Center Dynamics, HostingJournalist) explicitly name Masdar City, Abu Dhabi as the site of AUH6, described as the UAE's first AI-optimized data center -- distinct from the still-unsited Stargate UAE campus this project deliberately excludes."
