date,title,category,direction,countries,summary,source_name,source_url
2024-12-02,"BIS third major 2024 China semiconductor package: 140 Entity List additions, new FDP rules",Regulatory Framework,Tightening,Global (incl. all 17 tracked countries),"BIS issued a package of rules to impair China's ability to produce advanced-node semiconductors: two new Foreign-Direct Product rules, 140 additions to the Entity List, and new controls on high-bandwidth memory, supercomputers, and semiconductor manufacturing equipment, effective December 2, 2024. The rules extended license requirements for advanced computing items to any worldwide destination meeting certain criteria, forming the regulatory baseline the Biden AI Diffusion Rule (January 2025) and subsequent Trump-era actions built on.",Bureau of Industry and Security (BIS) -- Commerce Strengthens Export Controls to Restrict China's Capability to Produce Advanced Semiconductors for Military Applications,https://www.bis.gov/press-release/commerce-strengthens-export-controls-restrict-chinas-capability-produce-advanced-semiconductors-military
2025-01-15,Biden Administration issues the AI Diffusion Rule,Regulatory Framework,Tightening,Global (incl. all 8 tracked countries),"BIS issued a worldwide licensing framework for advanced semiconductors and AI computing commodities, sorting nearly every country into a small number of access tiers. Enforcement was set to begin 15 May 2025.",O'Melveny -- Trump Administration Modifies Direction of Regulating AI Chips,https://www.omm.com/insights/alerts-publications/trump-administration-modifies-direction-of-regulating-ai-chips/
2025-05-08,Chip Security Act companion bill (S. 1705) introduced in the Senate,Legislation,Tightening,United States (export-control implications for all 17 tracked countries),"Senator Tom Cotton (R-AR) introduced the Senate companion to the House Chip Security Act, requiring the Secretary of Commerce to issue standards for location-verification mechanisms on advanced integrated-circuit products to detect and deter diversion to unauthorized destinations.","Congress.gov -- S.1705, Chip Security Act (119th Congress)",https://www.congress.gov/bill/119th-congress/senate-bill/1705
2025-05-13,Trump Administration rescinds the AI Diffusion Rule,Regulatory Framework,Loosening,Global (incl. all 8 tracked countries),"BIS announced rescission of the Biden-era AI Diffusion Rule days before its enforcement date, citing over-complexity and diplomatic friction. This reopened the door to the bilateral, entity-specific dealmaking that produced the HUMAIN and UAE authorizations later in 2025 and 2026.",TechCrunch -- Trump administration officially rescinds Biden's AI diffusion rules,https://techcrunch.com/2025/05/13/trump-administration-officially-rescinds-bidens-ai-diffusion-rules/
2025-05-13,"Nvidia agrees to supply Saudi Arabia's Humain with 18,000 GB300 Blackwell chips",Bilateral Authorization,Loosening,Saudi Arabia,"During President Trump's Gulf trip, Nvidia CEO Jensen Huang announced Nvidia would ship over 18,000 GB300 Blackwell AI chips to Saudi AI venture Humain for a 500-megawatt data-center buildout, with several hundred thousand more chips planned over five years -- a deal enabled by the Trump administration's shift away from the Biden-era AI Diffusion Rule (formally rescinded the same week).","CNBC -- Nvidia sending 18,000 of its top AI chips to Saudi Arabia",https://www.cnbc.com/2025/05/13/nvidia-blackwell-ai-chips-saudi-arabia.html
2025-05-15,Chip Security Act (H.R. 3447) introduced in the House,Legislation,Tightening,United States (export-control implications for all 8 tracked countries),Reps. Bill Huizenga (R-MI) and Bill Foster (D-IL) introduced bipartisan legislation requiring advanced AI chips to carry location-verification mechanisms to detect and prevent diversion to unauthorized countries and end users.,GovTrack -- Chip Security Act (H.R. 3447),https://www.govtrack.us/congress/bills/119/hr3447
2025-09-02,BIS final rule substantially relaxes export controls on Syria,Regulatory Framework,Loosening,Syria,"Following President Trump's June 2025 executive order revoking comprehensive Syria sanctions, BIS issued a final rule easing Export Administration Regulations controls on Syria, removing license requirements for most civilian-use U.S.-origin goods, software, and technology and facilitating license approvals for telecommunications, power, and civil-aviation-related exports.",Bureau of Industry and Security (BIS) -- Commerce Eases Export Controls on Syria,https://www.bis.gov/press-release/commerce-eases-export-controls-syria
2025-10-09,Senate passes GAIN AI Act as an amendment to the FY2026 NDAA,Legislation,Tightening,United States (export-control implications for all 17 tracked countries),"The Senate adopted Sen. Jim Banks and Sen. Elizabeth Warren's Guaranteeing Access and Innovation for National AI (GAIN AI) Act as an amendment to the FY2026 National Defense Authorization Act, requiring chipmakers to fully satisfy U.S. customer orders -- and requiring export licenses to arms-embargoed and comprehensively sanctioned countries, including Iran and Syria -- before prioritizing sales abroad.",Nextgov/FCW -- AI export control bill passes Senate as NDAA amendment,https://www.nextgov.com/artificial-intelligence/2025/10/ai-export-control-bill-passes-senate-ndaa-amendment/408762/
2025-10-10,BIS issues first Nvidia AI-chip export licenses to the UAE under the AI Acceleration Partnership,Bilateral Authorization,Loosening,United Arab Emirates,"BIS issued Nvidia's first export licenses for advanced AI chips destined for the UAE since the start of the Trump administration, granted under the US-UAE AI Acceleration Partnership signed during Trump's May 2025 visit and reported as worth several billion dollars -- enabling initial GPU shipments toward the Stargate UAE data-center project.",DataCenterDynamics -- Department of Commerce issues export licenses for Nvidia chips destined for the UAE,https://www.datacenterdynamics.com/en/news/department-of-commerce-issues-export-licenses-for-nvidia-chips-destined-for-the-uae/
2025-11-06,GAIN AI Act of 2025 (S. 3150) introduced as standalone Senate bill,Legislation,Tightening,United States (export-control implications for all 17 tracked countries),"Sen. Jim Banks, with bipartisan cosponsors including Sens. Warren, Cotton, Schumer, McCormick, and Coons, introduced the standalone GAIN AI Act of 2025, requiring exporters of advanced AI chips to certify that U.S. purchasers' demand is met before chips can be sold to licensees in countries of concern, including arms-embargoed and comprehensively sanctioned destinations.","Congress.gov -- S.3150, GAIN AI Act of 2025 (119th Congress)",https://www.congress.gov/bill/119th-congress/senate-bill/3150
