country,iso3,non_oil_gdp_share_pct,figure_type,as_of_year,source_name,source_url,confidence,rationale
Saudi Arabia,SAU,55,direct_non_oil_share,2025,Saudi Vision 2030 -- Non-Oil GDP Gap Tracker,https://vision2030.ai/tracker/gaps/non-oil-gdp-gap/,Medium,"Vision 2030's own tracker states non-oil GDP is running at roughly 55% of total GDP in 2025 against a 65% target. This is a third-party analytics/tracker site rather than a primary GASTAT or IMF publication, and a corroborating primary IMF/World Bank figure for the identical year could not be located, so kept at Medium confidence."
United Arab Emirates,ARE,75.5,direct_non_oil_share,2024,"UAE Federal Competitiveness and Statistics Centre (FCSC) 2024 GDP data, reported by Khaleej Times",https://www.khaleejtimes.com/business/non-oil-sector-propels-uaes-gdp-to-nearly-dh18-trillion-in-2024,High,"FCSC (UAE's national statistics agency) reported non-oil activities at 75.5% of total 2024 GDP. Corroborated independently by Gulf News, Gulf Business, and AGBI reporting the same FCSC release."
Qatar,QAT,64,direct_non_oil_share,2024,Qatar National Planning Council (NPC) statistics release,https://www.npc.qa/en/statistics/Pages/news/20032025.aspx,High,Qatar's national statistics body reported non-hydrocarbon activities at nearly 64% of total 2024 GDP. Consistent with IMF's 2024 Article IV characterization of Qatar's nonhydrocarbon economy as 'about two-thirds' of output.
Bahrain,BHR,86,direct_non_oil_share,2024,Bahrain Ministry of Finance and National Economy -- Bahrain Economic Report 2024,https://www.mofne.gov.bh/en/media/newspress-releases/the-ministry-of-finance-and-national-economy-released-the-bahrain-economic-report-2024/,High,Bahrain's Ministry of Finance states non-oil activities contributed 86.0% to real GDP in 2024. Reported consistently across Arab News and Economy Middle East coverage of the same official release.
Kuwait,KWT,57,computed_from_oil_rents,2024,AGBI -- Kuwait's 2024 GDP falls $5bn due to oil price drop (citing Kuwait national accounts data),https://www.agbi.com/economy/2025/05/kuwaits-2024-gdp-falls-5bn-due-to-oil-price-drop/,Medium,"Kuwait's 2024 national accounts show the oil sector at ~43% of GDP against non-oil GDP of ~57%. A national-accounts oil-sector share relayed via financial press rather than a primary government release, and computed (100 minus oil share) rather than a directly stated figure -- Medium confidence."
Oman,OMN,71,direct_non_oil_share,2024,"Oman Ministry of Finance, citing National Centre for Statistics and Information (NCSI) preliminary 2024 data",https://www.fm.gov.om/oman-gdp-rises-nearly-2/,High,"Oman's Ministry of Finance states oil and gas activities reached 29.0% of GDP in 2024, implying non-oil activities at approximately 71%. Corroborated by NCSI underlying value figures reported by Oman Observer and Muscat Daily."
Pakistan,PAK,,not_applicable,,,,High,"Pakistan is not a hydrocarbon-rent economy -- a net oil/gas importer with domestic hydrocarbon production a negligible share of GDP -- so a non-oil GDP share proxy does not meaningfully apply. Structural non-applicability, not a data gap."
Turkey,TUR,,not_applicable,,,,High,"Turkey is a diversified, manufacturing- and services-led economy with minimal domestic oil production and no meaningful oil-rent share of GDP, so this proxy is not a meaningful lens for it."
Israel,ISR,,not_applicable,,,,High,"Israel is a diversified, technology- and services-led economy with essentially no oil rents, so a non-oil GDP share framing is not a meaningful or commonly published metric for it."
Egypt,EGY,,not_applicable,2021,"World Bank -- Oil rents (% of GDP), Egypt, Arab Rep. (indicator NY.GDP.PETR.RT.ZS)",https://data.worldbank.org/indicator/NY.GDP.PETR.RT.ZS?locations=EG,Medium,"World Bank data puts Egypt's oil rents at only ~2.99% of GDP in 2021, confirming Egypt is not a hydrocarbon-rent economy in the sense this proxy is designed for; a '100 minus oil rents' computation would misleadingly imply ~97% 'non-oil' diversification on par with a rentier state. Treated as not applicable rather than forcing a misleading number."
Jordan,JOR,,not_applicable,,,,High,"Jordan has no significant domestic oil production and negligible oil rents as a share of GDP, so this proxy is not a meaningful metric for its economy."
Iraq,IRQ,47,computed_from_oil_rents,2025,"World Bank -- Iraq Macro Poverty Outlook (MPO), April 2025 update",https://thedocs.worldbank.org/en/doc/65cf93926fdb3ea23b72f277fc249a72-0500042021/related/mpo-irq.pdf,Medium,"World Bank's Iraq MPO states oil accounted for an estimated 53% of real GDP in 2025, implying a non-oil share of roughly 47%. Other sources give somewhat different contemporaneous estimates (differing real vs nominal GDP methodologies) -- flagged as approximate, hence Medium confidence."
Lebanon,LBN,,not_applicable,,,,High,"Lebanon has no commercial oil or gas production and no oil-rent revenue base, so this proxy is not meaningful for an economy instead defined by its 2019-onward banking/currency collapse."
Syria,SYR,,not_applicable,,,,High,"Syria's pre-war oil sector was already a modest GDP share, and post-2011 conflict/sanctions have effectively collapsed formal oil-rent GDP accounting; no reliable current breakdown exists, so marked not applicable rather than estimated."
Iran,IRN,81.7,computed_from_oil_rents,2021,"World Bank -- Oil rents (% of GDP), Iran, Islamic Rep. (indicator NY.GDP.PETR.RT.ZS)",https://data.worldbank.org/indicator/NY.GDP.PETR.RT.ZS?locations=IR,Low,"World Bank data puts Iran's oil rents at 18.27% of GDP in 2021, the most recent year with a publicly reported figure, implying a non-oil proxy of ~81.7%. The IMF has not conducted a published Article IV consultation with Iran since 2018; this figure is dated (2021) and relayed via secondary reporting rather than confirmed directly against the primary database, hence Low confidence."
Yemen,YEM,,not_applicable,,,,High,"Yemen's oil production has been severely disrupted by ongoing conflict and blockades since 2022, collapsing what was already a modest oil-rent GDP share; no reliable current breakdown exists, so marked not applicable rather than estimated."
Afghanistan,AFG,,not_applicable,,,,High,"Afghanistan has no meaningful domestic oil production or oil-rent revenue base at any point in its recent economic history, so this proxy is not a meaningful or ever-published metric for its economy."
