country,iso3,tier_score,tier_label,as_of_date,confidence,source_name,source_url,rationale
United Arab Emirates,ARE,4,"Bilateral AI cooperation framework; license-free access for BIS-approved entities",2026-07-10,High,"BIS Final Rule / Morgan Lewis summary",https://www.morganlewis.com/pubs/2026/07/bis-upgrades-uae-export-control-status-with-ai-chip-access-limited-to-approved-entities,"BIS moved the UAE from Country Groups D:3/D:4 into A:5 on 10 Jul 2026 and named G42, Core42, and eight US AI firms as approved end users who can receive advanced chips license-free under a new Advanced Computing Items exception -- but only the parties listed in Supplement No. 8 to Part 740, so treatment is entity-specific, not unconditional national access."
Saudi Arabia,SAU,3,"Bespoke, capped entity-specific authorization",2025-11-19,High,"Vision2030.ai / trade press reporting on Nov 2025 Commerce authorization",https://vision2030.ai/geopolitics/us-chip-export-controls-saudi-uae-divergence/,"On 19 Nov 2025 Commerce authorized HUMAIN (and separately UAE's G42) to each purchase up to the equivalent of 35,000 Nvidia GB300-class accelerators, subject to security/reporting conditions and BIS compliance monitoring. This is favorable but capped, conditional, and short of a country-wide rule -- Saudi Arabia did not receive the UAE's July 2026 upgrade."
Qatar,QAT,2,"No disclosed bilateral chip framework; standard case-by-case licensing",2026-09-02,Low,"Analyst assessment, contextualized by Steptoe -- Commerce Upgrades the UAE to Favorable Export Control Status (confirms UAE's prior D:3/D:4 status)",https://www.steptoe.com/en/news-publications/international-compliance-blog/department-of-commerce-upgrades-the-uae-to-favorable-export-control-status-under-the-ear.html,"No BIS Federal Register rule, Country Group change, or named entity authorization for Qatar was found. Multiple law-firm sources now confirm the UAE was removed FROM Country Groups D:3/D:4 specifically in July 2026 (not merely 'upgraded' from an unspecified baseline) -- since no rule naming Qatar has surfaced, the most defensible inference is that Qatar remains in that same pre-upgrade D:3/D:4 bucket the UAE just left, but this was NOT independently confirmed against BIS's own Country Group table: a follow-up attempt to fetch bis.gov and beta.bis.gov directly was blocked by this session's network policy (both domains returned EGRESS_BLOCKED), not resolved either way. Scored above the floor given Qatar's Al Udeid Air Base hosting and active US security relationship, but this remains a judgment call. A future session with unrestricted access should check BIS's Interactive Country Groups tool directly."
Bahrain,BHR,2,"No disclosed bilateral chip framework; standard case-by-case licensing",2026-09-02,Low,"Analyst assessment -- see Qatar's row for the shared D:3/D:4 reasoning and the blocked BIS-verification attempt",,"Bahrain hosts US 5th Fleet HQ and is a Major Non-NATO Ally, but no chip-specific BIS authorization or Country Group change was found. Same reasoning and same unresolved verification gap as Qatar's row applies: plausibly still in the pre-upgrade D:3/D:4 bucket the UAE left in July 2026, not independently confirmed this session."
Kuwait,KWT,1,"No disclosed bilateral chip framework; standard case-by-case licensing",2026-09-02,Low,"Analyst assessment -- see Qatar's row for the shared D:3/D:4 reasoning and the blocked BIS-verification attempt",,"No evidence found of a chip-specific bilateral arrangement, entity authorization, or elevated Country Group treatment for Kuwait. Same unresolved verification gap as Qatar's and Bahrain's rows."
Oman,OMN,1,"No disclosed bilateral chip framework; standard case-by-case licensing",2026-09-02,Low,"Analyst assessment -- see Qatar's row for the shared D:3/D:4 reasoning and the blocked BIS-verification attempt",,"No evidence found of a chip-specific bilateral arrangement for Oman. Oman has historically hedged among US, India, and China relationships more than other GCC states. Same unresolved verification gap as the other three."
Pakistan,PAK,1,"No disclosed bilateral chip framework; standard case-by-case licensing; high import dependence",2025-07-30,Medium,"Institute of Strategic Studies Islamabad (ISSI) issue brief on National AI Policy 2025",https://issi.org.pk/issue-brief-on-pakistans-national-ai-policy-2025-developing-ai-ecosystem-and-ethical-data-governance/,"Pakistani analysts themselves flag 'complete dependence on semiconductor imports, chips, fabrication tools and design software' as a structural vulnerability to tightening export regimes. No bilateral chip authorization for Pakistan was found in this research pass."
Turkey,TUR,2,"NATO ally, standard licensing, but trust complicated by CAATSA precedent",2026-09-02,Low,"Analyst assessment; general awareness of Turkey's 2020 CAATSA sanctions over the S-400 purchase (not independently re-verified this session)",,"No AI-chip-specific bilateral authorization for Turkey was found in this research pass. Score reflects NATO-ally baseline access tempered by the precedent of the US sanctioning Turkey's defense-industry procurement office (CAATSA, Dec 2020) over its S-400 purchase from Russia -- evidence Turkey does not receive automatic 'closest ally' trust despite NATO membership. This factor should be re-verified with a fresh search; it was not directly re-confirmed in this session's research."
Israel,ISR,4,"Formal multilateral AI-supply-chain framework (Pax Silica) granting elevated access, short of a confirmed unconditional BIS regulatory upgrade",2026-01-16,Medium,Times of Israel -- Israel joins US-led 'Pax Silica' initiative; CTech (Calcalist) -- 'From yellow list to gold club: How Israel won unrestricted access to the AI supply chain',https://www.timesofisrael.com/israel-joins-us-led-pax-silica-initiative-to-cooperate-on-securing-ai-supply-chains/,"Under Biden's Jan 2025 AI Diffusion Rule, Israel was explicitly placed in the intermediate 'Tier 2' bucket (50,000-chip/year cap, 2025-2027) alongside Saudi Arabia/UAE -- NOT in the 18-country Tier 1 closest-ally list. That rule was rescinded 13 May 2025 before its 15 May compliance date, so the cap never took effect. On 11-12 Dec 2025 Israel became a founding signatory of the US-led 'Pax Silica' declaration (with the US, Japan, South Korea, Singapore, UK, Australia, later UAE), and on 16 Jan 2026 became the first country to sign a bilateral AI joint declaration with the US. Israeli press (CTech) frames this as 'unrestricted' silicon/model flow among members. Scored 4 rather than 5 because no equivalent BIS Federal Register Country-Group rule change specifically for Israel (like the UAE's July 2026 A:5 upgrade) was found in this pass -- the strongest 'license-free, no barriers' language traces to a single Israeli financial-tech outlet's characterization of a political declaration, not a confirmed EAR regulatory text change."
Egypt,EGY,1,"No bilateral chip framework; standard case-by-case EAR licensing (Country Group D:1/D:4, excluded from A:5/A:6)",2026-08-26,Medium,Bloomberg -- 'Huawei AI Data Center Bid in Egypt Spurs US to Mull Counter',https://www.bloomberg.com/news/articles/2026-08-26/huawei-egypt-ai-ascend-chips-test-us-tech-diplomacy-nvidia-amd-microsoft,"Bloomberg reports directly that 'AI chip shipments to Egypt have required Washington's permission since 2023' -- standard EAR case-by-case licensing, not a favorable Country Group A:5/A:6 status or an entity-specific carve-out like UAE/Saudi. As of the research date this is live and unresolved: Huawei bid in Aug 2026 to build Egypt's national AI data center (1,408 Ascend 950-series chips for training plus 600 for inference, partnered with blacklisted surveillance firm iFlytek), prompting the State Department to assemble a Nvidia/AMD/Microsoft counter-offer ahead of Xi Jinping's 2-4 Sept 2026 Cairo visit. No bilateral US-Egypt chip framework finalized as of 2 Sept 2026. Direct fetches to bis.gov and several law-firm domains were blocked this session, so the Country-Group claim rests on WebSearch-synthesized secondary sourcing -- flagged as a real limitation, same as this project's existing Qatar/Bahrain rows."
Jordan,JOR,1,No disclosed bilateral chip framework; standard case-by-case EAR licensing,2026-09-02,Low,"WebSearch synthesis of law-firm client alerts on the Oct 2023 BIS Advanced Computing/Semiconductor Manufacturing IFR, naming Jordan alongside Bahrain, Egypt, Kuwait, Oman, Pakistan, Qatar, Saudi Arabia, UAE and Yemen as Country Group D:1/D:4 destinations excluded from A:5/A:6",,"Multiple secondary sources name Jordan in the same enumerated list of destinations subject to the Oct 2023 advanced-computing license requirement as this project's already-scored Bahrain, Kuwait, Oman and Qatar rows. No evidence of any Jordan-specific bilateral chip authorization, Country Group upgrade, or entity-specific deal was found. Scored identically to Kuwait/Oman (1) rather than Qatar/Bahrain (2) absent any Jordan-specific security-relationship signal comparable to Al Udeid or 5th Fleet hosting. Direct WebFetch to primary sources was blocked this session -- same access limitation this project's Qatar row already documents -- so marked Low confidence exactly as that row is."
