country,iso3,governance_score,governance_label,as_of_date,confidence,source_name,source_url,rationale
United Arab Emirates,ARE,5,"Strategy + empowered regulator + binding institutional apparatus, longest-running in the region",2025-05-01,High,"Modulos Middle East AI Compliance Guide; digitalbricks.ai State of AI in the Middle East (2025)",https://www.modulos.ai/middle-east-ai-regulations/,"UAE appointed the world's first Minister of State for AI in 2017, has a National AI Strategy (referenced today as the National AI Strategy 2031), and in May 2025 created a cabinet-level Regulatory Intelligence Office to use AI in drafting and updating federal law. Longest institutional track record of any country in the set."
Saudi Arabia,SAU,4,"Strategy + dedicated authority + binding sectoral adoption framework",2024-05-01,High,"vision2030.ai Saudi National AI Strategy 2026 / SDAIA guide",https://vision2030.ai/sectors/technology/ai-strategy/,"SDAIA (established 2019) runs the National Strategy for Data and AI and released a binding AI Adoption Framework in May 2024; Saudi Arabia designated 2026 the 'Year of Artificial Intelligence.' Scored just below the UAE for a shorter institutional track record and no standalone AI law."
Qatar,QAT,2,"Published national strategy; no independently confirmed dedicated AI regulator",2025-12-01,Low,"Baker Institute working paper; ComputerWeekly -- Qatar launches Qai",https://www.computerweekly.com/news/366636280/Qatar-launches-Qai-to-accelerate-national-and-regional-AI-ambitions,"Qatar published a national AI plan prior to 2022 and in Dec 2025 QIA launched Qai as a national AI infrastructure/commercialization champion -- but Qai reads as an investment and infrastructure vehicle rather than a regulatory authority; no dedicated independent AI regulator analogous to SDAIA was confirmed in this research pass."
Bahrain,BHR,3,"Published strategy; AI-specific law proposed and under development",2026-01-01,Low,"The GCC Edge -- AI Governance in the Gulf: Budgets Shape the Rules",https://www.thegccedge.com/ai-governance-in-the-gulf/,"Search results indicate Bahrain has a national AI strategy and a proposed AI law in progress -- ahead of some GCC peers on the binding-regulation track even though the law is not yet enacted. Confidence is low pending a primary-source citation of the strategy document itself."
Kuwait,KWT,2,"Developing AI adoption framework tied to digital-transformation strategy",2025-01-01,Low,"digitalbricks.ai -- State of AI in the Middle East (2025)",https://www.digitalbricks.ai/blog-posts/the-state-of-ai-in-the-middle-east-2025,"Kuwait has published a national AI strategy (per the Baker Institute's statement that all six GCC states have done so) and is developing an AI adoption framework linked to its digital-transformation plan, but no dedicated standalone AI authority was identified in this research pass."
Oman,OMN,1,"National AI Policy reported as still being finalized",2025-01-01,Low,"digitalbricks.ai -- State of AI in the Middle East (2025)",https://www.digitalbricks.ai/blog-posts/the-state-of-ai-in-the-middle-east-2025,"Coverage describes Oman as 'finalizing' a National AI Policy as of this research pass, i.e. not yet published/final -- scored conservatively below states with a published strategy in force."
Pakistan,PAK,3,"Cabinet-approved national AI policy with dedicated implementation apparatus",2025-07-30,High,"Institute of Strategic Studies Islamabad (ISSI) issue brief",https://issi.org.pk/issue-brief-on-pakistans-national-ai-policy-2025-developing-ai-ecosystem-and-ethical-data-governance/,"Pakistan's federal cabinet unanimously approved the National AI Policy 2025 on 30 Jul 2025, establishing an AI Council, an implementation action matrix, and AI innovation/venture funds, with targets of 3 million AI-related jobs and 1 million trained AI professionals by 2030. Real institutional apparatus, though binding enforcement track record is not yet established."
Turkey,TUR,3,"Updated national strategy + coordinating body + regulation-in-progress, no enacted AI law yet",2026-01-01,Medium,"SETAV -- Turkiye's 2026 AI Strategy and the Logic of Middle Power Autonomy; TRT World Research Centre -- Turkiye and the Future of AI Sovereignty",https://www.setav.org/en/turkiyes-2026-ai-strategy-and-the-logic-of-middle-power-autonomy,"Turkey's 2026 AI strategy leverages TUBITAK BILGEM and defense-industrial player ASELSAN to address semiconductor/compute dependencies, with concrete targets (1GW of data-center capacity and 50,000 AI specialists by 2030). Regulatory development is active but not yet binding: Turkey is moving toward a risk-based, EU AI Act-inspired framework, and the TBMM (parliament) AI Research Commission is expected to release a report in late 2026 that may recommend sectoral AI laws. Scored above the 2025-session's prior 'Low confidence, unverified' entry now that a citable, dated 2026 source exists, but still below Bahrain/Saudi since no AI-specific law has been enacted and no dedicated standalone regulator (equivalent to SDAIA) exists yet -- TUBITAK is a research/coordination body, not a regulator."
Israel,ISR,4,Dedicated cabinet-level regulatory apparatus + binding sectoral regulation already in force,2026-08-13,Medium,Regulations.ai / White & Case AI Watch -- Israel; Lexology -- 'AI Use in the Financial Sector - Final Report of the Regulatory Workgroup' (Bank of Israel Directive 369),https://regulations.ai/regulations/RAI-IL-NA-SUMMARY-2026,"Netanyahu appointed Israel's first AI Chief (Brig. Gen. res. Erez Askal) on 12 Oct 2025, heading a new National Artificial Intelligence Directorate in the PM's Office; the government approved broad AI policy on 16 Jun 2026 and the Directorate published a 5-year National AI Strategic Plan on 13 Aug 2026 (100,000+ accelerators, domestic quantum computer, sub-5nm fab target). Rather than one AI law, Israel runs a sector-based model (Dec 2023 'Responsible Innovation' policy) -- the clearest binding instance found is Bank of Israel Proper Conduct of Banking Business Directive 369 (updated 21 Aug 2024), which already covers AI/model-risk governance for banks; further binding Bank of Israel financial-sector AI directives are expected late 2025/early 2026 per a multi-regulator working group. Scored below UAE's 5 because the AI-specific institutional apparatus (Directorate) is only ~1 year old versus UAE's since-2017 track record."
Egypt,EGY,3,"Presidentially-launched national strategy + standing cabinet-level coordinating council; binding AI law in the legislative pipeline, not yet enacted",2025-01-01,Medium,"OECD.AI -- Egypt National Artificial Intelligence Strategy; Digital Watch Observatory -- Egypt's national AI strategy, second edition 2025-2030",https://oecd.ai/en/dashboards/policy-initiatives/egypt-national-artificial-intelligence-strategy,"Egypt's National Council for Artificial Intelligence (NCAI) was established by Cabinet in Nov 2019, chaired by the Minister of Communications and IT; President Sisi announced the second-edition National AI Strategy (2025-2030) in Jan 2025 (six pillars, targets incl. 7.7% ICT GDP contribution and 30,000 AI experts by 2030), with an executive plan approved. AI-specific legislation -- expected to formalize a 'Center for Responsible AI' with audit/certification powers -- is reported moving through the parliamentary process in 2025-2026 but was not confirmed enacted in this research pass. Matches this project's Tier-3 precedent (cabinet-approved strategy + coordinating body, binding regulation in progress but not yet law)."
