country,iso3,digital_ties_score,digital_ties_label,as_of_date,confidence,source_name,source_url,rationale
Afghanistan,AFG,0,No disclosed Chinese AI/cloud infrastructure presence or financing found,2025-01-01,Medium,Stimson Center -- 'China's Unenthusiastic Economic Engagement with Taliban-Led Afghanistan',https://www.stimson.org/2025/chinas-unenthusiastic-economic-engagement-with-taliban-led-afghanistan/,"The Stimson Center's 2025 analysis finds Chinese investment in Taliban-led Afghanistan has remained flat and below 2012-2014 levels, with China proceeding cautiously given Afghanistan's security situation -- consistent with no Chinese cloud region, no confirmed Chinese AI-model deployment, and no disclosed Chinese-financed digital-infrastructure (data center/fiber) project found in Afghanistan through targeted searches. The one adjacent data point -- an August 2023 meeting between Taliban Interior Ministry officials and Huawei representatives reportedly discussing a nationwide facial-recognition camera system -- produced no confirmed contract or deployment in any subsequent reporting found, and in any case sits in the surveillance/telecom-equipment domain already captured by the existing chinese_tech_penetration.csv Afghanistan row (scored 1) rather than this cloud/AI/financing factor. Scored 0 with the caveat that Afghanistan's overall information environment makes negative findings inherently harder to fully verify than positive ones."
Bahrain,BHR,1,"Minimal -- an isolated 2021 Tencent Cloud MOU for a MENA data-center hub, with no confirmed current operational status, no major Chinese AI deployment, and no disclosed financing",2021-03-01,Low,PR Newswire / Bahrain EDB -- 'Tencent Cloud Deploys its First MENA Region Internet Data Centre Hub in Bahrain',https://www.bahrainedb.com/latest-news/tencent-cloud-deploys-its-first-mena-region-internet-data-centre-hub-in-bahrain,"Tencent Cloud signed an MOU with the Bahrain Economic Development Board on March 1, 2021 to build its first MENA-region data-center hub, initially expected live by end-2021. I could not confirm through any 2024-2026 source whether this facility is actually built or operational, so it is treated as an isolated, technically-announced service rather than an active deployment. No Chinese AI model (Pangu/Qwen/Ernie/DeepSeek) deployment was found in Bahrain -- the only related finding is an isolated Huawei-powered Wi-Fi 7 rollout at the Dragon City Bahrain shopping mall (consumer connectivity, not an AI model). No Chinese-financed digital-infrastructure project was found for Bahrain specifically. This is Low confidence and should be treated as a weaker/staler source than the other five rows -- flagged per project convention rather than upgraded on assumption."
Egypt,EGY,3,"Significant -- a live Huawei Cloud region plus an active Huawei-Pangu AI model deployment; a major Huawei/iFlytek AI data-center financing bid is pending, not yet awarded",2024-05-21,Medium,Huawei Cloud -- 'Huawei Cloud Goes Live in Egypt'; Fierce Network -- 'Huawei launches Egypt cloud region; releases new Arabic LLM'; Bloomberg -- 'Huawei AI Data Center Bid in Egypt Spurs US to Mull Counter',https://www.huaweicloud.com/intl/en-us/news/20240523155312706.html,"Huawei Cloud's Cairo Region went live 21 May 2024 as the first public-cloud region with local infrastructure on Egyptian soil and a designated hub serving 28 African countries; it grew 140% YoY to 300+ enterprise customers, with a second Cairo availability zone slated for 2026 (backed by a disclosed $300M/5-year investment). At the same May 2024 launch event, Huawei released a Pangu-based, 100-billion-parameter Arabic LLM trained on local data and hosted on the Cairo region -- a real, named Chinese AI model deployment tied to Egyptian infrastructure. Separately and more recently, Huawei (partnered with blacklisted Chinese firm iFlytek) has bid to build Egypt's national AI training/inference data center (2,008 Ascend chips, surveillance/'smart city' features) -- as of Sept 2026 (coinciding with Xi Jinping's first Egypt visit in a decade) this bid is still contested and NOT yet awarded, with the US State Department reportedly assembling an Nvidia/AMD/Microsoft counter-bid, so not counted as a confirmed financing arrangement. Flagged explicitly: a specific-sounding claim of a completed '$9.8 billion, Deutsche Bank-facilitated' China-financed Egypt data center (via a site called cqbluejay.com) was found and judged too unreliable to cite -- it has hallmarks of a fabricated financial press release (chain of obscure named SPVs) and is not corroborated by any mainstream outlet, so deliberately excluded from this score."
Iran,IRN,1,"Minimal -- a dated, named bilateral AI/digital-economy cooperation announcement exists, but no confirmed Chinese cloud region, no confirmed active Chinese-model AI deployment, and no confirmed Chinese financing of digital infrastructure distinct from Iran's self-funded, Huawei-equipped national data center",2025-05-14,Medium,"Tehran Times -- 'Iran, China discuss ways to foster technological partnerships'",https://www.tehrantimes.com/news/513061/Iran-China-discuss-ways-to-foster-technological-partnerships,"On May 14, 2025, Iran's ICT Minister Sattar Hashemi and China's MIIT Minister Li Lecheng met in Beijing and publicly announced a strategic partnership covering AI, industrial intelligence, communications/processing infrastructure, and data transit -- a real, dated, named cooperation signal, consistent with the broader 2021 Iran-China 25-year Comprehensive Strategic Partnership's telecom/infrastructure investment provisions. However, targeted searches found no Huawei Cloud, Alibaba Cloud, or Tencent Cloud region marketed or deployed in Iran (Huawei's Middle East cloud footprint is centered on Riyadh only), no confirmed government/telco/enterprise deployment of a Chinese-origin AI model (Iran's own national AI platform, unveiled March 2025, is built domestically with Sharif University, not on a Chinese model), and no confirmed Chinese financing of a data-center or fiber project. Iran's Huawei-supplied $700M-$1B national 'internet kill switch' data center (reported Feb 2026) was deliberately excluded from this factor because it is equipment Iran itself funded via IRGC-controlled MTN Irancell revenue -- a vendor/equipment relationship already captured in the existing chinese_tech_penetration.csv telecom factor for Iran -- not a Chinese-financed digital-infrastructure project or an AI/cloud deployment. Scored 1 rather than 0 on the strength of the dated, official bilateral AI-cooperation announcement, but flagged as weak/aspirational relative to a confirmed deployment or financing deal."
Iraq,IRQ,1,"Minimal -- Huawei runs marketing/training events and one enterprise-digital-services MoU in Iraq, but no confirmed cloud region, no AI model deployment, and Iraq's own national data-center project and flagship China financing deal have gone to non-Huawei/stalled",2025-06-02,Low,Iraq Business News -- 'Asiacell and China Mobile International Partner to Accelerate Iraq's Digital Transformation'; Developing Telecoms -- 'Iraq to build first data centres with Nokia'; The Diplomat -- 'Why Did Iraq Suspend a $10 Billion Deal With China?',https://www.iraq-businessnews.com/2024/11/24/why-did-iraq-suspend-a-10bn-deal-with-china/,"No evidence of a physical Huawei, Alibaba, or Tencent cloud region in Iraq was found; Huawei's visible Iraq activity in 2024-2025 consists of marketing/exhibition events ('Iraq Digital Week' roadshows) and an ICT/cybersecurity training partnership with Iraq's Communication and Media Commission, not a deployed cloud service. On 2 June 2025 Asiacell signed an MoU with China Mobile International for enterprise/B2B digital solutions -- real, dated, disclosed, though CMI is a Chinese telecom-cloud operator rather than one of the three named hyperscalers, and it remains at MoU stage. No deployment of a Chinese AI model by Iraqi government, telco, or enterprise was found. On financing, Iraq is nominally a top BRI recipient (~$10B+ since 2015), but its flagship $10B oil-for-infrastructure deal (transport, schools, hospitals, energy -- not digital-specific) was reported suspended as of Nov 2024 over sovereignty/over-dependence concerns, and Iraq's actual national data-center project (Al-Rasheed and Al-Intisar exchanges, Baghdad) was awarded to Nokia, not a Chinese vendor. Scored Low confidence given how sparse and largely negative/inconclusive the sourcing is for this specific factor in Iraq."
Israel,ISR,1,"Minimal -- Alibaba Cloud is technically available in Israel only via a local reseller, with no local data center, no AI model deployment, and declining/scrutinized Chinese investment",2025-02-01,High,Institute for National Security Studies (INSS) -- 'Clouds of Competition -- China's Rise in the Middle East Cloud Market'; INSS -- 'The Temptation of Chinese AI: Israel Must Not Be Blinded by DeepSeek',https://www.inss.org.il/publication/cloud-china/,"Per INSS's own MENA cloud-market analysis, Chinese cloud providers have only a limited footprint in Israel: Alibaba Cloud is available through local reseller Sela for cost-sensitive firms or those working in Asian markets, but 'Alibaba does not currently operate a local data center in Israel,' and US providers dominate the market -- unlike the physical Chinese cloud regions Huawei/Alibaba operate in Saudi Arabia, the UAE, and Egypt. On AI, a Feb 2025 INSS policy paper explicitly warns Israeli policymakers not to be 'tempted' by DeepSeek and to prioritize sovereign AI infrastructure instead, consistent with no confirmed government/enterprise deployment of a Chinese model. On financing, 2025 Chinese investment in Israel (just 5 deals recorded) is concentrated in energy rather than digital infrastructure, and INSS/RAND describe a broader trend of Israeli regulatory scrutiny curbing Chinese tech investment since roughly 2019-2020. Consistent with -- and reinforces -- the existing dataset's 0 score for Israel on the separate telecom-RAN factor."
Jordan,JOR,2,"Moderate -- Huawei public cloud service launched with Jordanian government patronage, but no confirmed local data center, AI model deployment, or digital-specific Chinese financing",2022-09-26,Low,Zawya -- 'Huawei launches Public Cloud Service and Start-up program Summit in Jordan',https://www.zawya.com/en/press-release/companies-news/huawei-launches-public-cloud-service-and-start-up-program-summit-in-jordan-r6i2voln,"Huawei launched public cloud services in Jordan on 26 Sept 2022 in the presence of the Minister of Investment and under the patronage of the Minister of Digital Economy and Entrepreneurship, alongside a start-up support program -- a disclosed, government-endorsed market entry; Huawei has separately stated it cooperates with Jordan's ICT Ministry on e-education, healthcare and smart-city elements of 'Jordan Vision 2025' and ran further digital-transformation roadshows in 2024. Could not confirm Huawei, Alibaba, or Tencent operate a physical cloud region/data center in Jordan (looks like a marketed service sold into the market rather than local infrastructure), nor any deployment of a Chinese AI model, nor any China-financed digital-infrastructure project -- Jordan's documented Chinese financing (~$7B in agreements over the past decade, including the flagship $1.6B-financed Attarat Power Plant) is concentrated in energy, rail, and a university, not digital infrastructure. Scored Low confidence because the clearest evidence dates to 2022 with nothing confirming an ongoing, current deployment as of 2025/2026, consistent with the existing dataset's finding that Jordan's security services have pushed back on Chinese ICT vendors more broadly."
Kuwait,KWT,3,"Significant -- an active Huawei-powered cloud service in real local use, plus a named Zain-Huawei AI partnership, but no disclosed Chinese financing of Kuwaiti digital infrastructure",2026-06-01,Medium,Times Kuwait -- 'KEMS Zajil Launches Next-Generation Cloud Services in Kuwait in Partnership with Huawei'; TechAfrica News -- 'Zain and Huawei Launch AI Center of Excellence for 5.5G Network Automation',https://timeskuwait.com/kems-zajil-launches-next-generation-cloud-services-in-kuwait-in-partnership-with-huawei/,"KEMS Zajil Telecom launched next-generation cloud services in Kuwait (reported June 2026) built on the Huawei Data Center Stack platform -- an active, in-market Chinese cloud service via a local ISP. Separately, Zain Kuwait and Huawei launched a joint 'AI Center of Excellence' (announced MWC Barcelona, Mar 12, 2024) to develop AI-enabled network automation using Huawei's Pangu-family AI tooling -- a real, dated, named AI partnership, though its scope is network-operations AI rather than a consumer/enterprise generative-AI product. No disclosed Chinese loan or equity financing of Kuwaiti digital infrastructure was found; notably, Kuwait's sovereign wealth fund (KIA) instead anchored the competing, US-led $30bn AI Infrastructure Partnership (Microsoft/BlackRock/MGX) in 2025-2026, suggesting Kuwait's marquee digital-infrastructure capital is flowing toward the US bloc. Scored Significant (3) via the AI-partnership leg rather than Deep (4), since the financing leg is absent."
Lebanon,LBN,1,"Minimal -- a real, dated Chinese-government financing of telecom-adjacent power infrastructure, but no Chinese cloud region, AI model deployment, or dedicated digital-infrastructure (data center/fiber) financing found",2024-01-23,Medium,Belt and Road Portal / Xinhua -- 'China to donate solar panels to Lebanon'; New Arab -- 'Lebanon receives multimillion dollar Chinese donation',https://eng.yidaiyilu.gov.cn/p/019ARR07.html,"In January 2024, China's Ambassador to Lebanon Qian Minjian announced a Chinese government donation of solar panels (reported value over $8 million) to power more than 358 (per Developing Telecoms, up to 830 in other reporting) of state operator Ogero's telecom sites, intended to be operational by summer 2024 amid Lebanon's electricity crisis. This is real, dated Chinese financing touching digital/telecom-enabling infrastructure, but it is energy infrastructure for existing telecom sites, not a Chinese cloud region, an AI-model deployment, or a data-center/fiber project. No Huawei Cloud, Alibaba Cloud, or Tencent Cloud presence in Lebanon was found, and no evidence of Chinese AI model deployment by Lebanese government, telco, or major enterprise was found despite a targeted search."
Oman,OMN,3,"Significant -- a disclosed, dated Chinese state-fund financing of Oman's national fiber broadband network, but no confirmed Oman-specific Chinese cloud region or AI model deployment",2018-10-29,Medium,AidData -- 'Silk Road Fund contributes $114 million to A/B loan with AIIB for Phase 1 of National Fiber Optic Broadband Network Project'; The Asset -- 'Silk Road Fund partners AIIB to construct Omani fibre optic broadband',https://china.aiddata.org/projects/66920/,"China's state-owned Silk Road Fund entered a participation agreement with the Asian Infrastructure Investment Bank on Oct 29, 2018, providing $114 million of the B-portion of a $239.2 million A/B loan to Oman Broadband Company for Phase 1 of Oman's National Fiber Optic Broadband Network (total project cost ~$467m through 2021) -- a concrete, named Chinese financing of Omani digital infrastructure, genuinely distinct from telecom-vendor equipment choice. I could not find a dedicated Huawei Cloud or Alibaba Cloud region in Oman, nor a confirmed Oman-specific Chinese AI model deployment -- the only related finding was a generic, non-Oman-specific Huawei statement listing OmanTel among its regional partners, which I did not count as a standalone finding, and Omantel's 2025 AI/Big Data MOU is with GlobalTech Corp, a US-listed firm, not a Chinese vendor. Scored Significant (3) via the financing leg alone rather than Deep (4)."
