country,iso3,deal_name,amount_usd_bn,deal_type,announced_date,counterparty,counted_in_score,source_name,source_url,notes
Saudi Arabia,SAU,"HUMAIN strategic technology partnerships",23.0,in_country_infra,2025-05-01,"multiple US tech partners",TRUE,"CNBC -- Saudi AI firm Humain is pouring billions into data centers",https://www.cnbc.com/2025/08/27/saudi-arabia-wants-to-be-worlds-third-largest-ai-provider-humain.html,"Aggregate figure reported across multiple partnership announcements tied to HUMAIN's May 2025 launch."
Saudi Arabia,SAU,"Google Cloud + PIF AI hub",10.0,in_country_infra,2025-05-13,"Google Cloud",TRUE,"Google Cloud Press Corner",https://www.googlecloudpresscorner.com/2025-05-13-Google-Cloud-and-PIF-Advance-AI-Hub-in-Saudi-Arabia,"Joint investment to build an AI hub / venture fund in Saudi Arabia."
Saudi Arabia,SAU,"National Infrastructure Fund - HUMAIN financing",1.2,in_country_infra,2025-01-01,"National Infrastructure Fund (Saudi)",TRUE,"Yahoo Finance -- Saudi's Humain secures up to $1.2 billion",https://finance.yahoo.com/news/saudis-humain-secures-1-2-112307705.html,"Financing agreement to support up to 250 MW of AI data-center capacity; exact announcement date approximate."
Saudi Arabia,SAU,"HUMAIN $100bn AI company ambition (headline figure)",100.0,aspirational_target,2025-05-01,"PIF",FALSE,"PIF -- HRH Crown Prince launches HUMAIN",https://www.pif.gov.sa/en/news-and-insights/press-releases/2025/hrh-crown-prince-launches-humain-as-global-ai-powerhouse/,"Headline ambition figure for the overall HUMAIN venture, not a disclosed committed-capital line item. Excluded from the scored total to avoid conflating rhetoric with disclosed commitments."
Saudi Arabia,SAU,"Overall HUMAIN project cost estimate",77.0,aspirational_target,2025-01-01,"n/a",FALSE,"vision2030.ai -- HUMAIN analysis",https://vision2030.ai/analysis/humain/,"Third-party analyst estimate of total project cost, not a disclosed deal. Excluded from the scored total."
United Arab Emirates,ARE,"Microsoft-UAE investment commitment",15.2,in_country_infra,2025-11-03,"Microsoft",TRUE,"Microsoft On the Issues",https://blogs.microsoft.com/on-the-issues/2025/11/03/microsofts-15-2-billion-usd-investment-in-the-uae/,"Cumulative commitment spanning 2023-2029, announced Nov 2025."
United Arab Emirates,ARE,"MGX / Microsoft / BlackRock / GIP AI infrastructure fund",100.0,global_fund_uae_anchored,2024-09-01,"Microsoft, BlackRock, Global Infrastructure Partners",FALSE,"CSIS -- The United Arab Emirates' AI Ambitions",https://www.csis.org/analysis/united-arab-emirates-ai-ambitions,"Global AI-infrastructure investment vehicle anchored by Abu Dhabi's MGX, not a UAE-exclusive in-country commitment. Excluded from the UAE-specific scored total; noted as context on the sovereign wealth fund's global reach."
United Arab Emirates,ARE,"MGX OpenAI secondary-sale stake",6.6,outbound_portfolio,2025-10-15,"OpenAI (secondary share sale)",FALSE,"CNBC -- Abu Dhabi's MGX investments",https://www.cnbc.com/2025/10/15/abu-dhabis-mgx-investments-in-trump-crypto-tiktok-openai-.html,"Outbound equity stake, not in-country AI infrastructure capex. Excluded from the scored total."
United Arab Emirates,ARE,"Stargate UAE campus (cost undisclosed)",,in_country_infra,2025-05-01,"G42, OpenAI, Oracle, Nvidia, Cisco, SoftBank",FALSE,"TechCrunch -- OpenAI may build data centers in the UAE",https://techcrunch.com/2025/05/14/openai-may-build-data-centers-in-the-uae/,"5GW campus announced; no clean aggregate dollar figure was found in this research pass. Physical capacity is captured separately in compute_capacity_deals.csv; left out of the dollar-value score to avoid an unsourced estimate."
Qatar,QAT,"QIA AI portfolio stakes (Anthropic, Databricks, Cresta)",,outbound_portfolio,2025-01-01,"Anthropic, Databricks, Cresta",FALSE,"GCC Business Watch -- Qatar Investment Authority to Expand AI-Related Investments",https://gccbusinesswatch.com/news/qatar-investment-authority-to-expand-ai-related-investments-affirms-ceo-at-qatar-economic-forum/,"Amounts not disclosed. Outbound portfolio investment, not in-country AI infrastructure."
Qatar,QAT,"No disclosed in-country AI infrastructure investment identified",,not_found,2026-09-02,,FALSE,"n/a",,"No dollar-denominated in-country AI infrastructure deal for Qatar was located in this research pass; Qatar's Scale AI services agreement (Feb 2025) is a government-services contract, not disclosed infrastructure capex, and is excluded on that basis."
Bahrain,BHR,"No disclosed AI infrastructure investment identified",,not_found,2026-09-02,,FALSE,"n/a",,"No dollar-denominated sovereign AI infrastructure deal for Bahrain was located in this research pass."
Kuwait,KWT,"No disclosed AI infrastructure investment identified",,not_found,2026-09-02,,FALSE,"n/a",,"No dollar-denominated sovereign AI infrastructure deal for Kuwait was located in this research pass."
Oman,OMN,"No disclosed AI infrastructure investment identified",,not_found,2026-09-02,,FALSE,"n/a",,"No dollar-denominated sovereign AI infrastructure deal for Oman was located in this research pass."
Pakistan,PAK,"No disclosed sovereign AI infrastructure investment identified",,not_found,2026-09-02,,FALSE,"n/a",,"Pakistan has no sovereign-wealth-fund-scale AI investment vehicle comparable to Gulf peers; the National AI Policy 2025 sets power-capacity and training targets (see compute_capacity_deals.csv and governance_maturity.csv) but these are policy targets, not disclosed investment deals."
Turkey,TUR,"No disclosed sovereign AI infrastructure investment identified",,not_found,2026-09-02,,FALSE,"n/a",,"No dollar-denominated sovereign AI infrastructure deal for Turkey was located in this research pass."
